Id,Name,Category,Created at,Updated at,Parent category,Partner
2587,Sustainability strategy,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Energy and Sustainability,
2586,Leadership strategy,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Soft Skills,
2585,Talent development,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Human Resources,
2584,HR analytics,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Human Resources,
2583,Performance measurement,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Performance Management,
2582,Pitch development,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Business Communication,
2581,Business writing,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Writing,
2580,UX analysis,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,UI/UX Design,
2579,Stakeholder communication,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Client Relations,
2578,Go-to-market strategy,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Product Strategy,
2577,Pricing strategy,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Communications and PR,
2576,Supply chain analysis,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Supply Chain and Logistics,
2575,Business process improvement,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Operations Management,
2574,Change management,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Change Management,
2573,Competitive analysis,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Market Research,
2572,Power BI,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Business Intelligence,
2571,Data visualization,skills,2025-08-07 22:15:47 UTC,2025-08-07 22:15:47 UTC,Business Intelligence,
2570,Excel modeling,skills,2025-08-07 22:15:46 UTC,2025-08-07 22:15:46 UTC,Engineering Simulation,
2569,KPI development,skills,2025-08-07 22:15:46 UTC,2025-08-07 22:15:46 UTC,Performance Management,
2568,Project management,skills,2025-08-07 22:15:46 UTC,2025-08-07 22:15:46 UTC,Project Management,
2567,Operations management,skills,2025-08-07 22:15:46 UTC,2025-08-07 22:15:46 UTC,Operations Management,
2566,Sales strategy,skills,2025-08-07 22:15:46 UTC,2025-08-07 22:15:46 UTC,Sales Strategy,
2565,Customer segmentation,skills,2025-08-07 22:15:46 UTC,2025-08-07 22:15:46 UTC,Customer Analytics,
